김현욱(金顯煜)사무총장도	김현욱/NNP+(/SS+金顯煜/SH+)/SS+사무총장/NNG+도/JX
인터넷	인터넷/NNG
관련	관련/NNG
산업과	산업/NNG+과/JKB
PC제조업	PC/SL+제조업/NNG
등에	등/NNB+에/JKB
엄청난	엄청나/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다．	전망/NNG+되/XSV+ㄴ다/EM+．/SF

삼성그룹은	삼성그룹/NNP+은/JX
이건희회장의	이건희/NNP+회장/NNG+의/JKG
미국	미국/NNP
체류로	체류/NNG+로/JKB
이수빈삼성생명회장이	이수빈/NNP+삼성생명/NNP+회장/NNG+이/JKS
주관한	주관/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
시무식을	시무식/NNG+을/JKO
가졌다．	가지/VV+었/EP+다/EM+．/SF

한편	한편/MAG
등록공모	등록/NNG+공모/NNG
당시	당시/NNG
벤처캐피탈	벤처/NNG+캐피탈/NNG
지분이	지분/NNG+이/JKS
10%에	10/SN+%/SW+에/JKB
미달해	미달/NNG+하/XSV+아/EM
벤처기업부에	벤처/NNG+기업부/NNG+에/JKB
속하지	속하/VV+지/EM
못했던	못하/VX+았/EP+던/ETM
오피콤과	오피콤/NNP+과/JKB
코리아링크는	코리아링크/NNP+는/JX
창투사	창투사/NNG
지분기준을	지분/NNG+기준/NNG+을/JKO
충족시켜	충족/NNG+시키/XSV+어/EM
일반기업부에서	일반기업부/NNG+에서/JKB
벤처기업부로	벤처/NNG+기업부/NNG+로/JKB
소속이	소속/NNG+이/JKS
변경됐다．	변경/NNG+되/XSV+었/EP+다/EM+．/SF

대다수	대다수/NNG
금융전문가들은	금융/NNG+전문가/NNG+들/XSN+은/JX
인터넷	인터넷/NNG
정보통신	정보/NNG+통신/NNG
등	등/NNB
정보기술(IT)주를	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+주/NNG+를/JKO
추천했다．	추천/NNG+하/XSV+았/EP+다/EM+．/SF

▽가입타이밍이	▽/SW+가입/NNG+타이밍/NNG+이/JKS
수익의	수익/NNG+의/JKG
절반을	절반/NNG+을/JKO
결정〓직접투자와	결정/NNG+〓/SW+직접투자/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
간접투자의	간접투자/NNG+의/JKG
승부는	승부/NNG+는/JX
가입싯점이다．	가입/NNG+싯점/NNG+이/VCP+다/EM+．/SF

반면	반면/NNG
종합지수가	종합지수/NNG+가/JKS
1000선에	1000/SN+선/NNB+에/JKB
막	막/MAG
도달한	도달/NNG+하/XSV+ㄴ/ETM
7월중에	7/SN+월/NNB+중/NNB+에/JKB
가입했던	가입/NNG+하/XSV+았/EP+던/ETM
투자자들은	투자자/NNG+들/XSN+은/JX
한때	한때/NNG
원금중일부를	원금/NNG+중/NNG+일부/NNG+를/JKO
잃는	잃/VV+는/ETM
수모를	수모/NNG+를/JKO
겪어야	겪/VV+어야/EM
했다．	하/VX+았/EP+다/EM+．/SF

▽삼성전자와	▽/SW+삼성전자/NNP+와/JKB
한국통신	한국통신/NNP
최고	최고/NNG
인기〓유망	인기/NNG+〓/SW+유망/NNG
대표종목으로	대표종목/NNG+으로/JKB
삼성전자와	삼성전자/NNP+와/JKB
한국통신이	한국통신/NNP+이/JKS
꼽혔다．	꼽히/VV+었/EP+다/EM+．/SF

내연성	내연성/NNG
재질을	재질/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EM
내구성이	내구성/NNG+이/JKS
뛰어나다고．	뛰어나/VA+다고/EM+．/SF

최근에는	최근/NNG+에/JKB+는/JX
중국산	중국산/NNG
저가품이	저가품/NNG+이/JKS
기승을	기승/NNG+을/JKO
부리면서	부리/VV+면서/EM
금고업계도	금고업계/NNG+도/JX
해외시장	해외/NNG+시장/NNG
경쟁이	경쟁/NNG+이/JKS
치열해졌다．	치열/NNG+하/XSV+아/EM+지/VX+었/EP+다/EM+．/SF

작년에는	작년/NNG+에/JKB+는/JX
환율까지	환율/NNG+까지/JX
급등해	급등/NNG+하/XSV+아/EM
어려움을	어려움/NNG+을/JKO
많이	많이/MAG
겪기도	겪/VV+기/ETN+도/JX
했다．	하/VX+았/EP+다/EM+．/SF

작년말에는	작년/NNG+말/NNB+에/JKB+는/JX
이같은	이/NP+같/VA+은/ETM
기술투자의	기술투자/NNG+의/JKG
성과로	성과/NNG+로/JKB
금고부착용	금고/NNG+부착용/NNG
경보장치를	경보/NNG+장치/NNG+를/JKO
새로	새로/MAG
개발하기도	개발/NNG+하/XSV+기/ETN+도/JX
했다．	하/VX+았/EP+다/EM+．/SF

길씨는	길/NNP+씨/NNB+는/JX
연극놀이	연극놀이/NNG
수업이	수업/NNG+이/JKS
연기를	연기/NNG+를/JKO
가르치는	가르치/VV+는/ETM
것이	것/NNB+이/JKS
아니라	아니/VA+라/EM
전인교육임을	전인/NNG+교육/NNG+이/VCP+ㅁ/ETN+을/JKO
강조한다．	강조/NNG+하/XSV+ㄴ다/EM+．/SF

이	이/MM
관계자는	관계자/NNG+는/JX
“대통령이	“/SS+대통령/NNG+이/JKS
당초에는	당초/NNG+에/JKB+는/JX
4월	4/SN+월/NNB
총선에	총선/NNG+에/JKB
출마할	출마/NNG+하/XSV+ㄹ/ETM
장관을	장관/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
4，	4/SN+，/SP
5명만	5/SN+명/NNB+만/JX
교체하는	교체/NNG+하/XSV+는/ETM
소폭의	소폭/NNG+의/JKG
개각을	개각/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EM
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EM+”/SS+고/JKQ
덧붙였다．	덧붙이/VV+었/EP+다/EM+．/SF

일본	일본/NNP
통화당국의	통화/NNG+당국/NNG+의/JKG
외환시장	외환/NNG+시장/NNG
개입은	개입/NNG+은/JX
지난해	지난해/NNG
12월24일	12/SN+월/NNB+24/SN+일/NNB
이후	이후/NNG
5일(도쿄외환시장	5/SN+일/NNB+(/SS+도쿄외환시장/NNG
개장일	개장일/NNG
기준)만에	기준/NNG+)/SS+만/NNB+에/JKB
이뤄졌다．	이루어지/VV+었/EP+다/EM+．/SF

코스닥시장에선	코스닥시장/NNG+에서/JKB+ㄴ/JX
그동안	그동안/NNG
강세	강세/NNG
행진을	행진/NNG+을/JKO
이어가던	잇/VV+어/EM+가/VX+던/ETM
한통프리텔	한통프리텔/NNP
다음	다음/NNG
등이	등/NNB+이/JKS
가격제한폭까지	가격/NNG+제한폭/NNG+까지/JX
떨어지는	떨어지/VV+는/ETM
급락세를	급락세/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
반면	반면/NNG
하나로통신	하나로통신/NNP
한글과컴퓨터	한글과컴퓨터/NNP
핸디소프트	핸디소프트/NNP
새롬기술은	새롬기술/NNP+은/JX
오름세를	오름세/NNG+를/JKO
지속했다．	지속/NNG+하/XSV+았/EP+다/EM+．/SF

국산미사일	국산/NNG+미사일/NNG
천마사업	천마/NNG+사업/NNG
프랑스	프랑스/NNP
톰슨사와	톰슨사/NNP+와/JKB
부품도입	부품/NNG+도입/NNG
계약	계약/NNG

신자유주의는	신자유주의/NNG+는/JX
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
운명일까요．	운명/NNG+이/VCP+ㄹ까요/EM+．/SF

목수는	목수/NNG+는/JX
목수	목수/NNG
일만	일/NNG+만/JX
해야	하/VV+아야/EM
하고	하/VX+고/EM
인권에는	인권/NNG+에/JKB+는/JX
관심을	관심/NNG+을/JKO
가지면	가지/VV+면/EM
안될까요．	안/NNG+되/XSV+ㄹ까요/EM+．/SF

즉	즉/MAG
‘권역별	‘/SS+권역별/NNG
정당명부제’까지는	정당명부제/NNG+’/SS+까지/JX+는/JX
양보하되	양보/NNG+하/XSV+되/EM
‘1인2표’가	‘/SS+1/SN+인/NNB+2/SN+표/NNG+’/SS+가/JKS
아닌	아니/VCP+ㄴ/ETM
‘1인1표’가	‘/SS+1/SN+인/NNB+1/SN+표/NNG+’/SS+가/JKS
돼야	되/VV+어야/EM
한다는	하/VX+ㄴ다는/ETM
것．	것/NNB+．/SF

개각이	개각/NNG+이/JKS
일주일	일주일/NNG
가량	가량/NNG
앞으로	앞/NNG+으로/JKB
다가오면서	다가오/VV+면서/EM
총리실과	총리실/NNG+과/JKB
부처마다	부처/NNG+마다/JX
술렁거리는	술렁거리/VV+는/ETM
분위기에	분위기/NNG+에/JKB
휩싸이기	휩싸이/VV+기/ETN
시작하는	시작/NNG+하/XSV+는/ETM
모습이다．	모습/NNG+이/VCP+다/EM+．/SF

북한	북한/NNP
당국이	당국/NNG+이/JKS
농업물자	농업/NNG+물자/NNG
채권을	채권/NNG+을/JKO
발행하고	발행/NNG+하/XSV+고/EM
우리	우리/NP
국민이	국민/NNG+이/JKS
이	이/MM
